"Datetime (date and time of sample collection)","Days since 741001","Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Month",,,,
01/08/1975 04:00,99.16667,0.75,643.0,264.0,0.446,0.050,5.20,-9.000,35.0,1,,,,
01/09/1975 10:00,100.41667,1.67,7400.0,306.0,0.491,0.050,4.80,-9.000,-9.0,1,,,,
01/11/1975 00:00,102.00000,0.13,8300.0,315.0,0.510,0.068,5.20,-9.000,-9.0,1,,,,
01/11/1975 12:00,102.50000,1.13,8610.0,238.0,0.510,0.070,5.20,-9.000,20.0,1,,,,
01/11/1975 16:00,102.66667,0.13,8700.0,280.0,0.520,0.067,5.10,-9.000,19.0,1,,,,
01/11/1975 18:00,102.75000,0.13,8700.0,312.0,0.520,0.072,5.10,-9.000,-9.0,1,,,,
01/11/1975 22:00,102.91667,0.13,8450.0,288.0,0.510,0.067,5.10,-9.000,18.0,1,,,,
01/12/1975 00:00,103.00000,0.90,6490.0,223.0,0.470,0.067,5.20,-9.000,-9.0,1,,,,
01/12/1975 04:00,103.16667,0.63,7990.0,257.0,0.500,0.070,5.20,-9.000,18.0,1,,,,
01/12/1975 06:00,103.25000,0.13,7780.0,290.0,0.500,0.062,5.20,-9.000,-9.0,1,,,,
01/12/1975 10:00,103.41667,0.13,7490.0,226.0,0.480,0.067,5.20,-9.000,17.5,1,,,,
01/12/1975 12:00,103.50000,0.13,7290.0,260.0,0.470,0.065,5.20,-9.000,-9.0,1,,,,
01/12/1975 16:00,103.66667,0.13,6970.0,206.0,0.470,0.072,5.30,-9.000,17.0,1,,,,
01/12/1975 18:00,103.75000,0.13,6860.0,239.0,0.490,0.065,5.20,-9.000,-9.0,1,,,,
01/12/1975 22:00,103.91667,0.98,6590.0,188.0,0.460,0.075,5.30,-9.000,18.0,1,,,,
01/14/1975 17:00,105.70833,1.70,2430.0,88.0,0.280,0.070,5.60,-9.000,20.0,1,,,,
01/15/1975 09:30,106.39583,1.00,1500.0,106.0,0.280,0.080,5.80,-9.000,21.0,1,,,,
01/29/1975 10:30,120.43750,1.00,1680.0,73.8,0.340,0.135,3.83,-9.000,24.0,1,,,,
01/29/1975 16:30,120.68750,0.25,3360.0,157.0,0.440,0.112,4.05,-9.000,24.0,1,,,,
01/29/1975 22:30,120.93750,0.25,5600.0,382.0,0.670,0.120,3.85,-9.000,21.0,1,,,,
01/30/1975 04:30,121.18750,0.25,7110.0,463.0,0.760,0.110,3.67,-9.000,17.0,1,,,,
01/30/1975 10:30,121.43750,0.25,7370.0,459.0,0.760,0.132,3.71,-9.000,16.0,1,,,,
01/30/1975 16:30,121.68750,0.25,6910.0,503.0,0.740,0.092,3.90,-9.000,15.0,1,,,,
01/30/1975 22:30,121.93750,0.25,6540.0,486.0,0.740,0.080,4.09,-9.000,14.5,1,,,,
01/31/1975 04:30,122.18750,0.25,6410.0,498.0,0.760,0.113,3.97,-9.000,15.0,1,,,,
01/31/1975 10:30,122.43750,0.25,6340.0,413.0,0.660,0.097,4.12,-9.000,15.0,1,,,,
01/31/1975 16:30,122.68750,0.25,6340.0,358.0,0.630,0.092,4.03,-9.000,14.0,1,,,,
01/31/1975 22:30,122.93750,0.25,6300.0,348.0,0.620,0.085,3.92,-9.000,13.5,1,,,,
02/01/1975 04:30,123.18750,0.25,6150.0,319.0,0.600,0.067,3.87,-9.000,13.0,2,,,,
02/01/1975 10:30,123.43750,0.25,5850.0,288.0,0.570,0.090,3.91,-9.000,13.0,2,,,,
02/01/1975 16:30,123.68750,0.25,5420.0,241.0,0.520,0.087,4.38,-9.000,13.0,2,,,,
02/01/1975 22:30,123.93750,0.25,4840.0,171.0,0.470,0.097,4.55,-9.000,14.0,2,,,,
02/02/1975 04:30,124.18750,0.25,4240.0,141.0,0.430,0.085,4.88,-9.000,14.5,2,,,,
02/02/1975 10:30,124.43750,0.25,3650.0,114.0,0.380,0.065,5.02,-9.000,15.0,2,,,,
02/02/1975 16:30,124.68750,0.25,3100.0,125.0,0.360,0.087,5.15,-9.000,16.0,2,,,,
02/02/1975 22:30,124.93750,0.25,2620.0,87.4,0.330,0.082,5.51,-9.000,17.0,2,,,,
02/03/1975 04:30,125.18750,0.25,2230.0,96.1,0.300,0.090,5.40,-9.000,17.0,2,,,,
02/03/1975 10:30,125.43750,0.25,1940.0,74.2,0.280,0.080,5.58,-9.000,18.0,2,,,,
02/03/1975 16:30,125.68750,0.25,1730.0,58.1,0.240,0.048,5.65,-9.000,18.0,2,,,,
02/03/1975 22:30,125.93750,0.25,1590.0,54.0,0.240,0.095,5.61,-9.000,19.0,2,,,,
02/04/1975 04:30,126.18750,0.25,1470.0,53.7,0.230,0.092,5.85,-9.000,19.0,2,,,,
02/04/1975 10:30,126.43750,0.25,1360.0,31.6,0.210,0.092,5.70,-9.000,20.0,2,,,,
02/04/1975 16:30,126.68750,0.25,1270.0,37.8,0.210,0.075,5.72,-9.000,20.5,2,,,,
02/04/1975 22:30,126.93750,0.25,1190.0,67.3,0.210,-9.000,5.22,-9.000,18.0,2,,,,
02/05/1975 04:30,127.18750,1.00,1100.0,33.6,0.180,0.095,5.57,-9.000,20.5,2,,,,
02/18/1975 16:00,140.66667,0.50,6040.0,279.0,0.430,0.090,5.30,-9.000,31.8,2,,,,
02/18/1975 22:00,140.91667,0.25,6040.0,247.0,0.450,0.090,6.20,-9.000,29.0,2,,,,
02/19/1975 04:00,141.16667,0.25,5850.0,193.0,0.370,0.080,7.00,-9.000,23.3,2,,,,
02/19/1975 10:00,141.41667,0.25,5770.0,148.0,0.340,0.060,6.90,-9.000,22.9,2,,,,
02/19/1975 16:00,141.66667,0.25,5710.0,147.0,0.380,0.060,6.80,-9.000,21.5,2,,,,
02/19/1975 22:00,141.91667,0.25,5630.0,-9.000,0.240,0.050,6.70,-9.000,21.0,2,,,,
02/20/1975 04:00,142.16667,0.38,5420.0,104.0,0.240,0.060,6.80,-9.000,21.2,2,,,,
02/20/1975 16:00,142.66667,0.38,4570.0,72.0,0.190,0.050,7.10,-9.000,21.3,2,,,,
02/20/1975 22:00,142.91667,0.25,4070.0,90.5,0.200,0.060,7.30,-9.000,21.7,2,,,,
02/21/1975 04:00,143.16667,0.25,3670.0,91.1,0.200,0.050,7.40,-9.000,22.0,2,,,,
02/21/1975 10:00,143.41667,0.88,3330.0,-9.000,0.160,0.050,7.30,-9.000,22.3,2,,,,
02/22/1975 22:00,144.91667,1.10,1760.0,158.0,0.280,0.080,7.00,-9.000,29.0,2,,,,
02/23/1975 15:00,145.62500,0.36,8510.0,637.0,0.790,0.070,6.10,-9.000,24.0,2,,,,
02/23/1975 15:30,145.64583,0.02,8840.0,651.0,0.840,0.060,6.10,-9.000,23.3,2,,,,
02/23/1975 16:00,145.66667,0.02,9110.0,725.0,0.820,0.070,6.10,-9.000,23.3,2,,,,
02/23/1975 16:30,145.68750,0.02,9330.0,734.0,0.890,0.070,6.00,-9.000,22.9,2,,,,
02/23/1975 17:00,145.70833,0.02,9550.0,709.0,0.940,0.060,5.90,-9.000,22.8,2,,,,
02/23/1975 17:30,145.72917,0.02,9800.0,746.0,0.910,0.070,5.90,-9.000,22.3,2,,,,
